epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6104,0.93432,0.99968,1.16512,0.77163,0.79954,0.83602,0.57153,1.06812,1.35835,1.3627,0.000662551,0.000662551,0.000662551
2,54.7322,0.9188,0.71897,1.163,0.90266,0.91358,0.94632,0.72462,0.85431,0.66538,1.13073,0.00131606,0.00131606,0.00131606
3,80.9287,0.9051,0.66944,1.14648,0.86143,0.83025,0.89792,0.64546,0.97643,1.11668,1.19978,0.00195637,0.00195637,0.00195637
4,107.293,0.88522,0.64534,1.14324,0.89686,0.90359,0.94498,0.70193,0.87739,0.66075,1.14865,0.0019406,0.0019406,0.0019406
5,133.548,0.84766,0.59047,1.1171,0.87522,0.9321,0.95337,0.73986,0.86535,0.55986,1.13911,0.0019208,0.0019208,0.0019208
6,159.856,0.82334,0.56319,1.10048,0.92386,0.91133,0.96547,0.76126,0.80358,0.49584,1.10016,0.001901,0.001901,0.001901
7,185.967,0.80851,0.54563,1.09099,0.92492,0.95052,0.96988,0.77782,0.77312,0.4843,1.05436,0.0018812,0.0018812,0.0018812
8,212.067,0.78378,0.52322,1.07551,0.92488,0.9393,0.97026,0.78577,0.74122,0.4896,1.03011,0.0018614,0.0018614,0.0018614
9,238.325,0.77131,0.50243,1.06451,0.91928,0.94547,0.973,0.78249,0.76252,0.46348,1.05476,0.0018416,0.0018416,0.0018416
10,264.42,0.76122,0.4967,1.06531,0.91992,0.9337,0.97053,0.78311,0.77341,0.48192,1.03966,0.0018218,0.0018218,0.0018218
11,290.346,0.75076,0.48274,1.05595,0.92773,0.93724,0.975,0.7914,0.74442,0.46201,1.02576,0.001802,0.001802,0.001802
12,316.236,0.7322,0.47592,1.04651,0.9349,0.94559,0.97899,0.80612,0.73176,0.41865,1.02572,0.0017822,0.0017822,0.0017822
13,342.487,0.72128,0.46027,1.04132,0.9327,0.95534,0.97689,0.80459,0.72611,0.43046,1.01378,0.0017624,0.0017624,0.0017624
14,368.846,0.71846,0.45571,1.04306,0.94151,0.94342,0.97515,0.80742,0.73336,0.42044,1.01808,0.0017426,0.0017426,0.0017426
15,395.834,0.71778,0.4538,1.04476,0.9383,0.94239,0.97612,0.8107,0.71729,0.41528,1.01132,0.0017228,0.0017228,0.0017228
16,422.687,0.70474,0.44888,1.03129,0.92644,0.93519,0.97583,0.80662,0.72095,0.44664,1.01078,0.001703,0.001703,0.001703
17,449.291,0.69627,0.43754,1.03187,0.93026,0.95165,0.97829,0.81325,0.72071,0.41375,1.01809,0.0016832,0.0016832,0.0016832
18,476.262,0.69433,0.43061,1.02829,0.90971,0.95369,0.97664,0.82455,0.68993,0.40598,0.99615,0.0016634,0.0016634,0.0016634
19,502.924,0.68321,0.42528,1.02118,0.95171,0.92181,0.97648,0.81604,0.70235,0.40292,1.00604,0.0016436,0.0016436,0.0016436
20,529.752,0.67867,0.41736,1.01747,0.92554,0.95911,0.97773,0.81532,0.70701,0.40377,1.0116,0.0016238,0.0016238,0.0016238
21,556.548,0.66959,0.40901,1.01284,0.9415,0.94547,0.97904,0.82008,0.70307,0.39381,0.99226,0.001604,0.001604,0.001604
22,582.997,0.66554,0.40913,1.0132,0.93182,0.94959,0.98067,0.82457,0.68451,0.38698,0.98315,0.0015842,0.0015842,0.0015842
23,609.934,0.66306,0.40204,1.0095,0.9391,0.95062,0.97937,0.82698,0.69121,0.3773,0.9932,0.0015644,0.0015644,0.0015644
24,636.574,0.65395,0.40148,1.00904,0.93904,0.95267,0.97848,0.82245,0.70499,0.38044,0.99761,0.0015446,0.0015446,0.0015446
25,663.329,0.65398,0.39943,1.00949,0.95464,0.93099,0.98051,0.82567,0.71042,0.39034,1.00811,0.0015248,0.0015248,0.0015248
26,690.199,0.64797,0.39427,0.99956,0.93288,0.9437,0.97868,0.82681,0.69335,0.39836,0.99695,0.001505,0.001505,0.001505
27,716.85,0.64106,0.39315,0.99875,0.92667,0.94753,0.97705,0.81888,0.70059,0.39132,0.99894,0.0014852,0.0014852,0.0014852
28,743.607,0.63407,0.38203,0.99583,0.94035,0.92901,0.97833,0.82927,0.69025,0.37916,0.98642,0.0014654,0.0014654,0.0014654
29,770.34,0.63396,0.3832,0.99928,0.93963,0.93827,0.97963,0.82944,0.68351,0.38222,0.99613,0.0014456,0.0014456,0.0014456
30,796.987,0.62597,0.37741,0.9924,0.94712,0.93621,0.9791,0.83137,0.68069,0.36994,0.98875,0.0014258,0.0014258,0.0014258
31,823.898,0.62254,0.37598,0.99414,0.94615,0.93994,0.98009,0.83163,0.6928,0.38298,0.99422,0.001406,0.001406,0.001406
32,850.535,0.61162,0.36932,0.99237,0.93226,0.94871,0.98045,0.82853,0.69595,0.37765,0.98877,0.0013862,0.0013862,0.0013862
33,877.203,0.60851,0.36342,0.98689,0.94835,0.94441,0.97923,0.8286,0.69273,0.37563,0.99892,0.0013664,0.0013664,0.0013664
34,904.073,0.60479,0.36564,0.9828,0.94665,0.93108,0.98008,0.82615,0.69765,0.38311,0.99503,0.0013466,0.0013466,0.0013466
35,930.666,0.5987,0.36172,0.9764,0.93718,0.95166,0.98083,0.83581,0.68492,0.37743,0.99006,0.0013268,0.0013268,0.0013268
36,957.548,0.59556,0.35784,0.97837,0.92574,0.96196,0.9815,0.83884,0.67522,0.37144,0.97734,0.001307,0.001307,0.001307
37,984.436,0.58931,0.3543,0.97665,0.9279,0.95473,0.97822,0.82906,0.68225,0.37539,0.98736,0.0012872,0.0012872,0.0012872
38,1011.01,0.5832,0.34871,0.97709,0.93714,0.94959,0.98042,0.82861,0.68924,0.37607,0.99679,0.0012674,0.0012674,0.0012674
39,1038.01,0.5823,0.34763,0.97099,0.92823,0.95801,0.98006,0.83019,0.6848,0.37361,0.9867,0.0012476,0.0012476,0.0012476
40,1064.71,0.57399,0.34149,0.96895,0.94261,0.94631,0.98141,0.83372,0.69016,0.37047,0.99717,0.0012278,0.0012278,0.0012278
41,1091.68,0.57033,0.33422,0.9665,0.94162,0.95267,0.98154,0.83805,0.68394,0.3699,0.98592,0.001208,0.001208,0.001208
42,1118.63,0.56776,0.33565,0.96524,0.93556,0.94547,0.9755,0.82958,0.67823,0.38133,0.98255,0.0011882,0.0011882,0.0011882
43,1145.23,0.56367,0.33669,0.96345,0.93827,0.94342,0.98096,0.8384,0.67627,0.36487,0.99099,0.0011684,0.0011684,0.0011684
44,1172.12,0.55481,0.32764,0.96536,0.9417,0.9537,0.98196,0.83963,0.67462,0.35668,0.99745,0.0011486,0.0011486,0.0011486
45,1199.08,0.55464,0.32844,0.96263,0.94561,0.94807,0.98045,0.84052,0.674,0.35454,0.98703,0.0011288,0.0011288,0.0011288
46,1225.81,0.54781,0.3256,0.96083,0.92728,0.95885,0.98049,0.83642,0.67754,0.36669,0.98614,0.001109,0.001109,0.001109
47,1252.85,0.54566,0.32084,0.95962,0.9349,0.94444,0.97801,0.83581,0.6771,0.36693,0.98903,0.0010892,0.0010892,0.0010892
48,1279.46,0.5417,0.31933,0.95443,0.92424,0.95885,0.97721,0.82759,0.68589,0.38493,0.99099,0.0010694,0.0010694,0.0010694
49,1306.32,0.53393,0.31851,0.95438,0.94596,0.94444,0.97973,0.83862,0.67879,0.36764,0.98785,0.0010496,0.0010496,0.0010496
50,1333.14,0.53363,0.31261,0.95104,0.95167,0.93184,0.9785,0.83978,0.67115,0.36475,0.9878,0.0010298,0.0010298,0.0010298
51,1359.86,0.52515,0.31412,0.95396,0.92179,0.95797,0.97993,0.84017,0.66678,0.35898,0.99256,0.00101,0.00101,0.00101
52,1386.5,0.51079,0.3056,0.94525,0.93573,0.95869,0.98057,0.84296,0.66789,0.35553,0.98226,0.0009902,0.0009902,0.0009902
53,1413.32,0.51672,0.30364,0.94635,0.93851,0.93724,0.97829,0.83956,0.66524,0.3651,0.96588,0.0009704,0.0009704,0.0009704
54,1440.02,0.51556,0.30092,0.94129,0.94144,0.94239,0.97971,0.8409,0.67176,0.36049,0.97465,0.0009506,0.0009506,0.0009506
55,1466.77,0.50762,0.30157,0.93991,0.93823,0.94959,0.97797,0.84345,0.66634,0.35527,0.96968,0.0009308,0.0009308,0.0009308
56,1493.6,0.5003,0.2936,0.94057,0.932,0.9537,0.97795,0.83881,0.67473,0.35965,0.98737,0.000911,0.000911,0.000911
57,1520.3,0.5031,0.29636,0.94054,0.93233,0.94342,0.9778,0.834,0.67485,0.36724,0.99545,0.0008912,0.0008912,0.0008912
58,1547.18,0.49579,0.29223,0.93968,0.93471,0.95743,0.98032,0.84359,0.67445,0.34884,0.99813,0.0008714,0.0008714,0.0008714
59,1573.84,0.49514,0.29414,0.93678,0.92452,0.95782,0.98081,0.84082,0.67178,0.35496,0.99162,0.0008516,0.0008516,0.0008516
60,1600.73,0.49192,0.29128,0.93324,0.93511,0.94856,0.97935,0.83767,0.6751,0.35999,0.98748,0.0008318,0.0008318,0.0008318
61,1627.77,0.48607,0.28469,0.93057,0.93145,0.95061,0.97797,0.83996,0.66559,0.36686,0.98102,0.000812,0.000812,0.000812
62,1654.76,0.48042,0.28309,0.93049,0.92556,0.95267,0.97711,0.83972,0.67358,0.3665,0.99101,0.0007922,0.0007922,0.0007922
63,1681.54,0.47635,0.2809,0.93118,0.9286,0.95004,0.97682,0.83978,0.68132,0.36594,0.9919,0.0007724,0.0007724,0.0007724
64,1708.42,0.47446,0.27783,0.93151,0.93018,0.95165,0.97566,0.83971,0.66845,0.36255,0.99139,0.0007526,0.0007526,0.0007526
65,1735.11,0.4681,0.27941,0.92786,0.9202,0.95988,0.97594,0.83685,0.67308,0.36592,0.98496,0.0007328,0.0007328,0.0007328
66,1762.07,0.46864,0.2764,0.92414,0.91889,0.95267,0.97641,0.83508,0.67486,0.37163,0.98876,0.000713,0.000713,0.000713
67,1788.85,0.46689,0.27677,0.92699,0.92706,0.95452,0.97667,0.83309,0.68116,0.3577,0.99177,0.0006932,0.0006932,0.0006932
68,1815.53,0.4606,0.27307,0.91943,0.93579,0.94459,0.97884,0.83897,0.68042,0.36487,0.98664,0.0006734,0.0006734,0.0006734
69,1842.46,0.45127,0.26952,0.9242,0.93985,0.93724,0.97804,0.83887,0.67524,0.36433,0.996,0.0006536,0.0006536,0.0006536
70,1869.23,0.4497,0.26582,0.91845,0.93055,0.95062,0.97883,0.84076,0.66984,0.36349,0.98934,0.0006338,0.0006338,0.0006338
71,1895.48,0.44917,0.26336,0.91975,0.91807,0.96399,0.97786,0.84064,0.67945,0.36261,0.9876,0.000614,0.000614,0.000614
72,1921.43,0.43775,0.25885,0.91884,0.93067,0.95296,0.97672,0.83799,0.6813,0.37047,0.99019,0.0005942,0.0005942,0.0005942
73,1947.29,0.43828,0.2606,0.91673,0.94235,0.94173,0.9775,0.83495,0.69001,0.36639,1.00421,0.0005744,0.0005744,0.0005744
74,1973.25,0.4345,0.2592,0.91543,0.94154,0.94547,0.97948,0.83863,0.67936,0.35896,0.99256,0.0005546,0.0005546,0.0005546
75,1999.24,0.43208,0.25602,0.91485,0.94148,0.94444,0.97934,0.83381,0.68432,0.35905,1.00362,0.0005348,0.0005348,0.0005348
76,2025.04,0.43032,0.25794,0.91461,0.94688,0.9352,0.97651,0.83597,0.68043,0.3558,1.00718,0.000515,0.000515,0.000515
77,2050.95,0.42152,0.25019,0.91094,0.9282,0.95766,0.97835,0.83509,0.67717,0.35889,0.99622,0.0004952,0.0004952,0.0004952
78,2076.87,0.42201,0.24912,0.91092,0.93106,0.95878,0.97747,0.83955,0.67811,0.35341,1.00344,0.0004754,0.0004754,0.0004754
79,2102.8,0.41459,0.24769,0.91089,0.92923,0.9591,0.97968,0.84552,0.67152,0.35155,0.99664,0.0004556,0.0004556,0.0004556
80,2128.82,0.41128,0.2455,0.90497,0.93062,0.95782,0.97678,0.83977,0.67478,0.35518,1.00012,0.0004358,0.0004358,0.0004358
81,2155.15,0.41127,0.24587,0.90796,0.93311,0.95473,0.97692,0.84138,0.67689,0.36323,0.99448,0.000416,0.000416,0.000416
82,2181.89,0.40924,0.2445,0.90378,0.93581,0.9449,0.97835,0.83884,0.67717,0.3587,0.99767,0.0003962,0.0003962,0.0003962
83,2208.64,0.40728,0.24366,0.90445,0.93014,0.95892,0.97903,0.84005,0.67685,0.35937,1.00007,0.0003764,0.0003764,0.0003764
84,2235.5,0.4022,0.23747,0.90431,0.92893,0.95475,0.97807,0.84307,0.67459,0.36329,0.99455,0.0003566,0.0003566,0.0003566
85,2262.13,0.40114,0.24067,0.90321,0.9309,0.95634,0.97796,0.83922,0.68233,0.36293,0.99824,0.0003368,0.0003368,0.0003368
86,2288.88,0.39992,0.23936,0.90438,0.92856,0.96276,0.97718,0.83905,0.68526,0.36125,1.00399,0.000317,0.000317,0.000317
87,2315.75,0.39114,0.2345,0.90104,0.93411,0.95679,0.97871,0.8425,0.68217,0.35452,1.00709,0.0002972,0.0002972,0.0002972
88,2342.54,0.38902,0.23401,0.90182,0.92377,0.96001,0.9772,0.83939,0.68332,0.36416,1.01186,0.0002774,0.0002774,0.0002774
89,2369.29,0.38761,0.23196,0.90111,0.92921,0.95267,0.97823,0.84206,0.67869,0.36777,1.01433,0.0002576,0.0002576,0.0002576
90,2396.03,0.38588,0.23203,0.89842,0.93968,0.94547,0.977,0.84027,0.68283,0.36666,1.01875,0.0002378,0.0002378,0.0002378
91,2433.89,0.33182,0.18383,0.85232,0.94174,0.94856,0.97945,0.83989,0.67884,0.35732,1.01556,0.000218,0.000218,0.000218
92,2460.63,0.31962,0.17836,0.84753,0.93186,0.9567,0.97947,0.84309,0.67987,0.35773,1.01386,0.0001982,0.0001982,0.0001982
93,2487.07,0.31195,0.17496,0.84575,0.9443,0.9393,0.97911,0.84373,0.67942,0.35581,1.01715,0.0001784,0.0001784,0.0001784
94,2513.93,0.30567,0.1697,0.83957,0.94478,0.93827,0.97933,0.8447,0.67945,0.35781,1.01791,0.0001586,0.0001586,0.0001586
95,2540.4,0.30406,0.16986,0.84563,0.94396,0.94239,0.97865,0.84518,0.68236,0.35893,1.01795,0.0001388,0.0001388,0.0001388
96,2567.03,0.29689,0.16697,0.83776,0.93259,0.9536,0.9771,0.84341,0.6823,0.36135,1.01854,0.000119,0.000119,0.000119
97,2593.61,0.2963,0.1674,0.84261,0.92912,0.95679,0.97751,0.84305,0.68211,0.35888,1.01957,9.92e-05,9.92e-05,9.92e-05
98,2620.17,0.29217,0.16484,0.83739,0.94521,0.93827,0.97757,0.84485,0.67905,0.35936,1.01813,7.94e-05,7.94e-05,7.94e-05
99,2647.06,0.28804,0.16322,0.83754,0.92449,0.95731,0.97784,0.84535,0.67886,0.36118,1.01816,5.96e-05,5.96e-05,5.96e-05
100,2673.51,0.28308,0.16006,0.83318,0.94138,0.94239,0.97887,0.84533,0.67975,0.35822,1.02041,3.98e-05,3.98e-05,3.98e-05
